versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento,peso,temperaturaCabina,estimacionOcupacionSuben,estimacionOcupacionBajan,estimacionOcupacionAbordo
E.1.0.0,212499,PB,Z374001,RET,No Disponible,2024-02-15 03:50:51.584,2024-02-15 03:50:52.104,T,4.592697,-74.181267,2,3,False,2,EV1,-1,19.0,-1,-1,-1
E.1.0.0,212593,PB,Z374001,RET,No Disponible,2024-02-15 04:10:10.438,2024-02-15 04:10:10.766,T,4.592697,-74.181267,2,3,False,2,EV1,-1,20.0,-1,-1,-1
E.1.0.0,212847,PB,Z374001,D630,No Disponible,2024-02-15 05:00:38.686,2024-02-15 05:00:38.957,T,4.564344,-74.163400,2,3,False,2,EV1,-1,20.0,1,0,1
E.1.0.0,212864,PB,Z374001,D630,No Disponible,2024-02-15 05:03:20.568,2024-02-15 05:03:21.058,T,4.568233,-74.163472,2,3,False,2,EV1,-1,19.0,8,0,9
E.1.0.0,212877,PB,Z374001,D630,No Disponible,2024-02-15 05:05:19.048,2024-02-15 05:05:19.229,T,4.567419,-74.166967,2,3,False,2,EV1,-1,19.0,5,1,13
E.1.0.0,212887,PB,Z374001,D630,No Disponible,2024-02-15 05:06:41.538,2024-02-15 05:06:41.969,T,4.568022,-74.169225,2,3,False,2,EV1,-1,19.0,3,0,16
E.1.0.0,212897,PB,Z374001,D630,No Disponible,2024-02-15 05:08:05.079,2024-02-15 05:08:05.169,T,4.569342,-74.170194,2,3,False,2,EV1,-1,19.0,1,0,17
E.1.0.0,212908,PB,Z374001,D630,No Disponible,2024-02-15 05:09:48.626,2024-02-15 05:09:48.726,T,4.570483,-74.168700,2,3,False,2,EV1,-1,19.0,6,0,23
E.1.0.0,212917,PB,Z374001,D630,No Disponible,2024-02-15 05:10:53.386,2024-02-15 05:10:53.596,T,4.571086,-74.168686,2,3,False,2,EV1,-1,20.0,1,0,24
E.1.0.0,212929,PB,Z374001,D630,No Disponible,2024-02-15 05:12:52.436,2024-02-15 05:12:52.466,T,4.572878,-74.167119,2,3,False,2,EV1,-1,20.0,6,0,30
E.1.0.0,212937,PB,Z374001,D630,No Disponible,2024-02-15 05:13:51.155,2024-02-15 05:13:51.206,T,4.572878,-74.167119,2,3,False,2,EV1,-1,20.0,1,0,31
E.1.0.0,212949,PB,Z374001,D630,No Disponible,2024-02-15 05:15:51.405,2024-02-15 05:15:51.775,T,4.577397,-74.169114,2,3,False,2,EV1,-1,20.0,4,0,35
E.1.0.0,212969,PB,Z374001,D630,No Disponible,2024-02-15 05:19:30.346,2024-02-15 05:19:30.536,T,4.578111,-74.166675,2,3,False,2,EV1,-1,20.0,2,0,37
E.1.0.0,213004,PB,Z374001,D630,No Disponible,2024-02-15 05:26:29.326,2024-02-15 05:26:29.476,T,4.580919,-74.154561,2,3,False,2,EV1,-1,21.0,1,1,37
E.1.0.0,213016,PB,Z374001,D630,No Disponible,2024-02-15 05:28:11.636,2024-02-15 05:28:11.886,T,4.580344,-74.150836,2,3,False,2,EV1,-1,21.0,1,0,38
E.1.0.0,213034,PB,Z374001,D630,No Disponible,2024-02-15 05:31:01.596,2024-02-15 05:31:02.016,T,4.579192,-74.143475,2,3,False,2,EV1,-1,21.0,0,2,36
