versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento,estadoAperturaCierrePuertas
E.1.0.0,212078,PB,Z374001,No Disponible,No Disponible,2024-02-15 02:18:00.047,2024-02-15 02:18:00.147,T,4.592697,-74.181267,2,3,False,2,EV2,True
E.1.0.0,212497,PB,Z374001,RET,No Disponible,2024-02-15 03:50:39.994,2024-02-15 03:50:40.224,T,4.592697,-74.181267,2,3,False,2,EV2,False
E.1.0.0,212502,PB,Z374001,RET,No Disponible,2024-02-15 03:51:02.874,2024-02-15 03:51:03.234,T,4.592697,-74.181267,2,3,False,2,EV2,True
E.1.0.0,212591,PB,Z374001,RET,No Disponible,2024-02-15 04:10:01.359,2024-02-15 04:10:02.296,T,4.592697,-74.181267,2,3,False,2,EV2,False
E.1.0.0,212843,PB,Z374001,D630,No Disponible,2024-02-15 05:00:06.846,2024-02-15 05:00:07.146,T,4.563944,-74.163494,2,3,False,2,EV2,True
E.1.0.0,212846,PB,Z374001,D630,No Disponible,2024-02-15 05:00:26.966,2024-02-15 05:00:27.356,T,4.563944,-74.163494,2,3,False,2,EV2,False
E.1.0.0,212857,PB,Z374001,D630,No Disponible,2024-02-15 05:02:38.216,2024-02-15 05:02:38.466,T,4.568233,-74.163472,2,3,False,2,EV2,True
E.1.0.0,212862,PB,Z374001,D630,No Disponible,2024-02-15 05:03:09.429,2024-02-15 05:03:09.858,T,4.568233,-74.163472,2,3,False,2,EV2,False
E.1.0.0,212870,PB,Z374001,D630,No Disponible,2024-02-15 05:04:31.849,2024-02-15 05:04:32.089,T,4.567419,-74.166967,2,3,False,2,EV2,True
E.1.0.0,212875,PB,Z374001,D630,No Disponible,2024-02-15 05:05:06.425,2024-02-15 05:05:06.699,T,4.567419,-74.166967,2,3,False,2,EV2,False
E.1.0.0,212884,PB,Z374001,D630,No Disponible,2024-02-15 05:06:21.729,2024-02-15 05:06:22.259,T,4.568022,-74.169225,2,3,False,2,EV2,True
E.1.0.0,212885,PB,Z374001,D630,No Disponible,2024-02-15 05:06:31.008,2024-02-15 05:06:31.099,T,4.568022,-74.169225,2,3,False,2,EV2,False
E.1.0.0,212893,PB,Z374001,D630,No Disponible,2024-02-15 05:07:46.948,2024-02-15 05:07:47.379,T,4.568831,-74.170064,2,3,False,2,EV2,True
E.1.0.0,212894,PB,Z374001,D630,No Disponible,2024-02-15 05:07:54.048,2024-02-15 05:07:54.069,T,4.568831,-74.170064,2,3,False,2,EV2,False
E.1.0.0,212903,PB,Z374001,D630,No Disponible,2024-02-15 05:09:01.566,2024-02-15 05:09:01.906,T,4.570483,-74.168700,2,3,False,2,EV2,True
E.1.0.0,212906,PB,Z374001,D630,No Disponible,2024-02-15 05:09:37.236,2024-02-15 05:09:37.696,T,4.570483,-74.168700,2,3,False,2,EV2,False
E.1.0.0,212913,PB,Z374001,D630,No Disponible,2024-02-15 05:10:35.136,2024-02-15 05:10:35.687,T,4.571086,-74.168686,2,3,False,2,EV2,True
E.1.0.0,212916,PB,Z374001,D630,No Disponible,2024-02-15 05:10:41.636,2024-02-15 05:10:42.256,T,4.571086,-74.168686,2,3,False,2,EV2,False
E.1.0.0,212925,PB,Z374001,D630,No Disponible,2024-02-15 05:12:13.016,2024-02-15 05:12:13.056,T,4.572878,-74.167119,2,3,False,2,EV2,True
E.1.0.0,212928,PB,Z374001,D630,No Disponible,2024-02-15 05:12:41.106,2024-02-15 05:12:41.216,T,4.572878,-74.167119,2,3,False,2,EV2,False
E.1.0.0,212934,PB,Z374001,D630,No Disponible,2024-02-15 05:13:34.665,2024-02-15 05:13:34.995,T,4.572878,-74.167119,2,3,False,2,EV2,True
E.1.0.0,212936,PB,Z374001,D630,No Disponible,2024-02-15 05:13:40.135,2024-02-15 05:13:40.326,T,4.572878,-74.167119,2,3,False,2,EV2,False
E.1.0.0,212944,PB,Z374001,D630,No Disponible,2024-02-15 05:15:18.905,2024-02-15 05:15:18.975,T,4.576975,-74.168978,2,3,False,2,EV2,True
E.1.0.0,212947,PB,Z374001,D630,No Disponible,2024-02-15 05:15:39.806,2024-02-15 05:15:40.346,T,4.576975,-74.168978,2,3,False,2,EV2,False
E.1.0.0,212963,PB,Z374001,D630,No Disponible,2024-02-15 05:18:47.766,2024-02-15 05:18:47.866,T,4.578111,-74.166675,2,3,False,2,EV2,True
E.1.0.0,212966,PB,Z374001,D630,No Disponible,2024-02-15 05:19:19.296,2024-02-15 05:19:19.306,T,4.578111,-74.166675,2,3,False,2,EV2,False
E.1.0.0,213001,PB,Z374001,D630,No Disponible,2024-02-15 05:26:07.706,2024-02-15 05:26:07.877,T,4.580856,-74.154831,2,3,False,2,EV2,True
E.1.0.0,213002,PB,Z374001,D630,No Disponible,2024-02-15 05:26:18.336,2024-02-15 05:26:18.386,T,4.580856,-74.154831,2,3,False,2,EV2,False
E.1.0.0,213012,PB,Z374001,D630,No Disponible,2024-02-15 05:27:55.336,2024-02-15 05:27:55.646,T,4.580533,-74.151333,2,3,False,2,EV2,True
E.1.0.0,213015,PB,Z374001,D630,No Disponible,2024-02-15 05:28:00.386,2024-02-15 05:28:00.986,T,4.580533,-74.151333,2,3,False,2,EV2,False
E.1.0.0,213029,PB,Z374001,D630,No Disponible,2024-02-15 05:30:39.676,2024-02-15 05:30:40.287,T,4.579192,-74.143475,2,3,False,2,EV2,True
E.1.0.0,213031,PB,Z374001,D630,No Disponible,2024-02-15 05:30:50.806,2024-02-15 05:30:51.056,T,4.579192,-74.143475,2,3,False,2,EV2,False
E.1.0.0,213053,PB,Z374001,D630,No Disponible,2024-02-15 05:34:23.236,2024-02-15 05:34:23.326,T,4.581853,-74.140714,2,3,False,2,EV2,True
E.1.0.0,213055,PB,Z374001,D630,No Disponible,2024-02-15 05:34:34.066,2024-02-15 05:34:34.117,T,4.581853,-74.140714,2,3,False,2,EV2,False
E.1.0.0,213081,PB,Z374001,D630,No Disponible,2024-02-15 05:39:09.756,2024-02-15 05:39:10.596,T,4.585422,-74.136069,2,3,False,2,EV2,True
E.1.0.0,213082,PB,Z374001,D630,No Disponible,2024-02-15 05:39:16.946,2024-02-15 05:39:17.026,T,4.585422,-74.136069,2,3,False,2,EV2,False
E.1.0.0,213097,PB,Z374001,D630,No Disponible,2024-02-15 05:41:45.496,2024-02-15 05:41:45.716,T,4.590742,-74.138556,2,3,False,2,EV2,True
E.1.0.0,213098,PB,Z374001,D630,No Disponible,2024-02-15 05:41:58.076,2024-02-15 05:41:58.226,T,4.590742,-74.138556,2,3,False,2,EV2,False
E.1.0.0,213111,PB,Z374001,D630,No Disponible,2024-02-15 05:44:08.886,2024-02-15 05:44:08.966,T,4.593614,-74.137969,2,3,False,2,EV2,True
E.1.0.0,213112,PB,Z374001,D630,No Disponible,2024-02-15 05:44:18.416,2024-02-15 05:44:18.666,T,4.593614,-74.137969,2,3,False,2,EV2,False
E.1.0.0,213125,PB,Z374001,D630,No Disponible,2024-02-15 05:46:58.036,2024-02-15 05:46:58.136,T,4.597828,-74.136242,2,3,False,2,EV2,True
E.1.0.0,213129,PB,Z374001,D630,No Disponible,2024-02-15 05:47:02.516,2024-02-15 05:47:03.276,T,4.597828,-74.136242,2,3,False,2,EV2,False
E.1.0.0,213133,PB,Z374001,D630,No Disponible,2024-02-15 05:47:38.956,2024-02-15 05:47:39.346,T,4.600103,-74.134750,2,3,False,2,EV2,True
E.1.0.0,213135,PB,Z374001,D630,No Disponible,2024-02-15 05:47:48.486,2024-02-15 05:47:48.686,T,4.600103,-74.134750,2,3,False,2,EV2,False
E.1.0.0,213144,PB,Z374001,D630,No Disponible,2024-02-15 05:49:05.146,2024-02-15 05:49:05.216,T,4.602083,-74.133447,2,3,False,2,EV2,True
E.1.0.0,213145,PB,Z374001,D630,No Disponible,2024-02-15 05:49:15.776,2024-02-15 05:49:15.957,T,4.602083,-74.133447,2,3,False,2,EV2,False
E.1.0.0,213157,PB,Z374001,D630,No Disponible,2024-02-15 05:51:01.426,2024-02-15 05:51:01.557,T,4.606553,-74.130469,2,3,False,2,EV2,True
E.1.0.0,213158,PB,Z374001,D630,No Disponible,2024-02-15 05:51:15.826,2024-02-15 05:51:16.286,T,4.606553,-74.130469,2,3,False,2,EV2,False
E.1.0.0,213166,PB,Z374001,D630,No Disponible,2024-02-15 05:52:30.366,2024-02-15 05:52:30.406,T,4.611267,-74.128269,2,3,False,2,EV2,True
E.1.0.0,213167,PB,Z374001,D630,No Disponible,2024-02-15 05:52:38.026,2024-02-15 05:52:38.376,T,4.611267,-74.128269,2,3,False,2,EV2,False
E.1.0.0,213170,PB,Z374001,D630,No Disponible,2024-02-15 05:52:58.556,2024-02-15 05:52:58.756,T,4.611267,-74.128269,2,3,False,2,EV2,True
E.1.0.0,213173,PB,Z374001,D630,No Disponible,2024-02-15 05:53:03.926,2024-02-15 05:53:04.906,T,4.611267,-74.128269,2,3,False,2,EV2,False
E.1.0.0,213181,PB,Z374001,D630,No Disponible,2024-02-15 05:54:56.006,2024-02-15 05:54:56.206,T,4.616728,-74.126539,2,3,False,2,EV2,True
E.1.0.0,213185,PB,Z374001,D630,No Disponible,2024-02-15 05:55:03.006,2024-02-15 05:55:03.097,T,4.616728,-74.126539,2,3,False,2,EV2,False
E.1.0.0,213186,PB,Z374001,D630,No Disponible,2024-02-15 05:55:05.906,2024-02-15 05:55:06.036,T,4.616728,-74.126539,2,3,False,2,EV2,True
E.1.0.0,213187,PB,Z374001,D630,No Disponible,2024-02-15 05:55:13.747,2024-02-15 05:55:14.017,T,4.616728,-74.126539,2,3,False,2,EV2,False
E.1.0.0,213197,PB,Z374001,D630,No Disponible,2024-02-15 05:56:57.486,2024-02-15 05:56:57.537,T,4.620703,-74.125294,2,3,False,2,EV2,True
E.1.0.0,213201,PB,Z374001,D630,No Disponible,2024-02-15 05:57:06.416,2024-02-15 05:57:06.477,T,4.620703,-74.125294,2,3,False,2,EV2,False
E.1.0.0,213210,PB,Z374001,D630,No Disponible,2024-02-15 05:58:55.796,2024-02-15 05:58:55.816,T,4.627200,-74.122992,2,3,False,2,EV2,True
E.1.0.0,213213,PB,Z374001,D630,No Disponible,2024-02-15 05:59:10.726,2024-02-15 05:59:10.983,T,4.627200,-74.122992,2,3,False,2,EV2,False
E.1.0.0,213216,PB,Z374001,D630,No Disponible,2024-02-15 05:59:33.126,2024-02-15 05:59:33.326,T,4.628142,-74.122619,2,3,False,2,EV2,True
E.1.0.0,213218,PB,Z374001,D630,No Disponible,2024-02-15 05:59:46.976,2024-02-15 05:59:47.376,T,4.628142,-74.122619,2,3,False,2,EV2,False
E.1.0.0,213223,PB,Z374001,D630,No Disponible,2024-02-15 06:00:27.746,2024-02-15 06:00:27.857,T,4.630175,-74.121794,2,3,False,2,EV2,True
E.1.0.0,213226,PB,Z374001,D630,No Disponible,2024-02-15 06:00:42.866,2024-02-15 06:00:43.036,T,4.630175,-74.121794,2,3,False,2,EV2,False
E.1.0.0,213230,PB,Z374001,D630,No Disponible,2024-02-15 06:01:11.027,2024-02-15 06:01:11.126,T,4.631744,-74.121128,2,3,False,2,EV2,True
E.1.0.0,213232,PB,Z374001,D630,No Disponible,2024-02-15 06:01:21.976,2024-02-15 06:01:22.216,T,4.631744,-74.121128,2,3,False,2,EV2,False
E.1.0.0,213239,PB,Z374001,D630,No Disponible,2024-02-15 06:02:28.486,2024-02-15 06:02:28.906,T,4.636308,-74.119208,2,3,False,2,EV2,True
E.1.0.0,213242,PB,Z374001,D630,No Disponible,2024-02-15 06:02:41.826,2024-02-15 06:02:41.837,T,4.636308,-74.119208,2,3,False,2,EV2,False
