versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,temperaturaMotor,presionAceiteMotor,velocidadVehiculo,aceleracionVehiculo,revolucionesMotor,estadoDesgasteFrenos,kilometrosOdometro,consumoCombustible,nivelTanqueCombustible,consumoEnergia,regeneracionEnergia,nivelRestanteEnergia,porcentajeEnergiaGenerada,temperaturaSts,usoCpuSts,memRamSts,memDiscoSts,temperaturaBaterias,sentidoMarcha
E.1.0.0,100643,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:00:00.026,2024-04-24 00:00:00.636,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,87.0,59.8,44.0,28,20,91.0,31.0,0
E.1.0.0,100647,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:01:00.925,2024-04-24 00:01:01.456,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,88.0,59.8,44.0,28,20,91.0,31.0,0
E.1.0.0,100651,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:02:00.016,2024-04-24 00:02:00.717,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,88.0,59.8,44.0,27,20,91.0,31.0,0
E.1.0.0,100655,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:03:00.046,2024-04-24 00:03:00.696,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,89.0,59.8,44.0,29,20,91.0,31.0,0
E.1.0.0,100659,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:04:00.037,2024-04-24 00:04:00.936,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,89.0,59.8,44.0,28,19,91.0,31.0,0
E.1.0.0,100663,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:05:00.026,2024-04-24 00:05:00.766,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,90.0,59.8,43.0,27,19,91.0,31.0,0
E.1.0.0,100669,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:06:00.026,2024-04-24 00:06:01.016,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,90.0,59.8,44.0,28,19,91.0,31.0,0
E.1.0.0,100673,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:07:00.026,2024-04-24 00:07:00.796,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,91.0,59.8,44.0,28,19,91.0,31.0,0
E.1.0.0,100677,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:08:00.026,2024-04-24 00:08:00.906,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,91.0,59.8,43.0,28,19,91.0,31.0,0
E.1.0.0,100681,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:09:00.046,2024-04-24 00:09:00.765,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,92.0,59.8,44.0,28,19,91.0,31.0,0
E.1.0.0,100685,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:10:00.026,2024-04-24 00:10:00.586,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,92.0,59.8,43.0,28,19,91.0,31.0,0
E.1.0.0,100689,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:11:00.036,2024-04-24 00:11:00.786,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,93.0,59.8,43.0,29,20,91.0,31.0,0
E.1.0.0,100693,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:12:00.036,2024-04-24 00:12:00.576,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,93.0,59.8,43.0,28,20,91.0,31.0,0
E.1.0.0,100697,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:13:00.036,2024-04-24 00:13:00.906,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,30,20,91.0,31.0,0
E.1.0.0,100701,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:14:00.056,2024-04-24 00:14:00.826,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,44.0,28,20,91.0,31.0,0
E.1.0.0,100705,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:15:00.016,2024-04-24 00:15:01.046,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,21,91.0,32.0,0
E.1.0.0,100709,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:16:00.026,2024-04-24 00:16:00.666,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,21,91.0,32.0,0
E.1.0.0,100713,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:17:00.016,2024-04-24 00:17:00.896,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,27,21,91.0,32.0,0
E.1.0.0,100718,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:18:00.056,2024-04-24 00:18:00.826,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,31,20,91.0,32.0,0
E.1.0.0,100722,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:19:00.056,2024-04-24 00:19:00.796,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,27,20,91.0,32.0,0
E.1.0.0,100726,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:20:00.046,2024-04-24 00:20:00.926,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,20,91.0,32.0,0
E.1.0.0,100730,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:21:00.036,2024-04-24 00:21:00.786,T,4.592919,-74.181547,1,3,False,2,37.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,20,91.0,32.0,0
E.1.0.0,100734,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:22:00.056,2024-04-24 00:22:01.506,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,20,91.0,32.0,0
E.1.0.0,100738,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:23:00.026,2024-04-24 00:23:00.586,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,30,19,91.0,32.0,0
E.1.0.0,100742,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:24:00.056,2024-04-24 00:24:00.766,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,19,91.0,32.0,0
E.1.0.0,100746,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:25:00.036,2024-04-24 00:25:00.806,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,44.0,28,19,91.0,32.0,0
E.1.0.0,100750,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:26:00.026,2024-04-24 00:26:01.466,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,29,19,91.0,32.0,0
E.1.0.0,100754,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:27:00.036,2024-04-24 00:27:00.676,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,28,19,91.0,32.0,0
E.1.0.0,100758,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:28:00.026,2024-04-24 00:28:00.626,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,94.0,59.8,43.0,27,19,91.0,32.0,0
E.1.0.0,100763,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:29:00.046,2024-04-24 00:29:01.026,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,100.0,59.8,43.0,28,18,91.0,32.0,0
E.1.0.0,100767,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:30:00.036,2024-04-24 00:30:00.776,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,100.0,59.8,43.0,28,18,91.0,32.0,0
E.1.0.0,100771,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:31:00.026,2024-04-24 00:31:01.046,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,100.0,59.8,43.0,28,18,91.0,32.0,0
E.1.0.0,100775,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:32:00.026,2024-04-24 00:32:00.816,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,100.0,59.8,43.0,29,18,91.0,32.0,0
E.1.0.0,100781,PB,Z374020,No Disponible,No Disponible,2024-04-24 00:33:00.036,2024-04-24 00:33:00.826,T,4.592919,-74.181547,1,3,False,2,38.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70426,42116,100.0,59.8,43.0,30,18,91.0,32.0,0
E.1.0.0,100794,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:09:00.037,2024-04-24 03:09:00.917,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,26.0,28,9,91.0,30.0,0
E.1.0.0,100798,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:10:00.037,2024-04-24 03:10:00.647,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,26.0,28,9,91.0,30.0,0
E.1.0.0,100802,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:11:00.046,2024-04-24 03:11:01.036,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,26.0,28,9,91.0,30.0,0
E.1.0.0,100806,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:12:00.382,2024-04-24 03:12:00.926,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,28.0,28,30,91.0,30.0,0
E.1.0.0,100810,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:13:00.146,2024-04-24 03:13:01.026,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,29.0,29,30,91.0,30.0,0
E.1.0.0,100814,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:14:00.037,2024-04-24 03:14:00.916,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,29.0,38,30,91.0,30.0,0
E.1.0.0,100818,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:15:00.988,2024-04-24 03:15:02.328,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,29.0,29,30,91.0,30.0,0
E.1.0.0,100822,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:16:00.036,2024-04-24 03:16:01.051,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,29.0,28,29,91.0,30.0,0
E.1.0.0,100826,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:17:00.056,2024-04-24 03:17:01.476,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,29.0,30,29,91.0,30.0,0
E.1.0.0,100830,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:18:00.116,2024-04-24 03:18:01.123,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,29.0,29,29,91.0,30.0,0
E.1.0.0,100834,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:19:00.026,2024-04-24 03:19:00.956,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,30.0,27,29,91.0,30.0,0
E.1.0.0,100838,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:20:00.672,2024-04-24 03:20:01.761,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,30.0,29,29,91.0,30.0,0
E.1.0.0,100842,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:21:00.706,2024-04-24 03:21:02.641,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,30.0,30,29,91.0,30.0,0
E.1.0.0,100846,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:22:00.030,2024-04-24 03:22:01.088,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,30.0,29,29,91.0,30.0,0
E.1.0.0,100850,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:23:00.621,2024-04-24 03:23:01.620,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,31.0,28,29,91.0,30.0,0
E.1.0.0,100854,PB,Z374020,No Disponible,No Disponible,2024-04-24 03:24:00.785,2024-04-24 03:24:03.721,T,4.592775,-74.181867,1,3,False,2,35.0,-1,0.0,0.0,0.0,18.0,87106.21,-1,-1,70427,42116,100.0,59.8,31.0,30,28,91.0,30.0,0
