Genero,Login,Logout,MOVIL,Fecha
M,12:15:58,15:16:08,Z37-4025,2024-07-01
H,15:39:22,18:26:48,Z37-4025,2024-07-01
M,09:10:28,11:44:05,Z37-4025,2024-07-01
H,06:16:05,08:40:10,Z37-4025,2024-07-01
H,11:35:31,15:39:18,Z37-4025,2024-07-02
H,15:57:14,20:03:45,Z37-4025,2024-07-02
H,05:46:21,09:25:03,Z37-4025,2024-07-02
M,07:29:09,11:12:21,Z37-4012,2024-07-02
H,02:36:40,05:11:25,Z37-4025,2024-07-02
M,04:26:55,07:31:13,Z37-4025,2024-07-03
M,07:59:19,10:38:57,Z37-4025,2024-07-03
H,16:26:01,19:27:25,Z37-4025,2024-07-03
M,08:00:18,11:39:35,Z37-4012,2024-07-03
H,13:08:45,16:24:15,Z37-4025,2024-07-03
H,12:34:26,15:52:59,Z37-4012,2024-07-03
H,16:17:51,16:23:47,Z37-4012,2024-07-03
H,16:23:58,20:12:39,Z37-4012,2024-07-03
M,04:44:46,07:47:44,Z37-4012,2024-07-03
H,19:40:26,22:35:35,Z37-4025,2024-07-03
H,17:28:50,20:53:40,Z37-4025,2024-07-04
H,18:52:33,21:43:50,Z37-4012,2024-07-04
M,10:10:38,12:52:03,Z37-4025,2024-07-04
M,14:53:19,18:37:01,Z37-4012,2024-07-04
M,13:29:23,16:08:34,Z37-4025,2024-07-04
M,03:50:08,06:27:01,Z37-4012,2024-07-04
M,06:56:43,10:35:04,Z37-4012,2024-07-04
M,03:47:43,10:06:40,Z37-4025,2024-07-04
M,10:59:28,14:38:48,Z37-4012,2024-07-04
M,05:30:06,11:25:47,Z37-4025,2024-07-05
H,11:05:18,14:44:47,Z37-4012,2024-07-05
H,13:53:29,17:52:50,Z37-4025,2024-07-05
M,14:49:50,18:30:51,Z37-4012,2024-07-05
M,19:38:28,22:12:51,Z37-4012,2024-07-05
M,02:50:07,05:20:34,Z37-4025,2024-07-05
M,07:19:59,10:57:34,Z37-4012,2024-07-05
M,03:54:53,06:51:38,Z37-4012,2024-07-05
M,18:04:03,23:19:24,Z37-4025,2024-07-05
H,16:31:18,19:31:44,Z37-4025,2024-07-06
M,06:52:43,10:29:11,Z37-4012,2024-07-06
M,11:35:29,16:01:16,Z37-4025,2024-07-06
H,21:01:42,23:29:27,Z37-4025,2024-07-06
H,10:48:32,15:43:38,Z37-4012,2024-07-06
M,04:00:02,06:47:38,Z37-4012,2024-07-06
M,03:49:13,06:09:20,Z37-4025,2024-07-06
M,07:48:15,11:28:11,Z37-4025,2024-07-06
M,06:46:46,09:57:38,Z37-4025,2024-07-08
M,04:05:16,06:19:38,Z37-4025,2024-07-08
M,14:41:49,19:04:30,Z37-4012,2024-07-08
H,16:55:55,20:45:54,Z37-4025,2024-07-08
H,04:02:58,04:09:57,Z37-4012,2024-07-08
H,04:10:06,06:39:50,Z37-4012,2024-07-08
M,07:18:35,10:49:21,Z37-4012,2024-07-08
H,13:30:05,16:55:44,Z37-4025,2024-07-08
H,11:08:47,14:04:10,Z37-4012,2024-07-08
H,19:29:38,23:02:58,Z37-4012,2024-07-08
M,09:57:51,13:29:17,Z37-4025,2024-07-08
M,17:59:35,21:08:50,Z37-4012,2024-07-09
M,14:16:52,17:48:38,Z37-4012,2024-07-09
H,11:28:45,19:40:19,Z37-4025,2024-07-09
H,07:21:11,10:23:22,Z37-4012,2024-07-09
H,11:07:10,14:06:25,Z37-4012,2024-07-09
M,07:45:23,11:15:44,Z37-4025,2024-07-09
M,04:07:32,06:51:29,Z37-4012,2024-07-09
M,04:38:21,07:34:07,Z37-4025,2024-07-09
H,12:43:41,16:12:05,Z37-4012,2024-07-10
M,05:11:23,08:21:37,Z37-4012,2024-07-10
M,08:40:16,12:30:23,Z37-4012,2024-07-10
M,20:26:44,23:08:17,Z37-4012,2024-07-10
H,16:40:26,19:53:39,Z37-4012,2024-07-10
M,09:45:51,12:54:55,Z37-4025,2024-07-10
H,12:58:22,16:13:38,Z37-4025,2024-07-10
H,16:15:35,16:15:56,Z37-4025,2024-07-10
H,16:23:44,19:53:23,Z37-4025,2024-07-10
M,03:42:18,09:39:15,Z37-4025,2024-07-10
M,17:15:15,20:19:28,Z37-4025,2024-07-11
M,10:27:02,13:29:43,Z37-4025,2024-07-11
H,13:35:53,16:56:40,Z37-4025,2024-07-11
H,13:12:50,17:06:53,Z37-4012,2024-07-11
M,05:28:41,08:46:59,Z37-4012,2024-07-11
M,09:29:05,12:56:01,Z37-4012,2024-07-11
M,20:38:49,23:04:29,Z37-4012,2024-07-11
M,04:12:52,10:00:56,Z37-4025,2024-07-11
M,17:19:19,20:35:10,Z37-4012,2024-07-11
M,05:35:11,12:07:43,Z37-4025,2024-07-12
H,19:41:40,23:40:03,Z37-4025,2024-07-12
H,15:04:39,16:40:42,Z37-4025,2024-07-12
M,09:15:18,13:01:34,Z37-4012,2024-07-12
M,05:11:42,08:55:59,Z37-4012,2024-07-12
M,17:10:07,20:52:41,Z37-4012,2024-07-12
H,16:44:44,19:37:14,Z37-4025,2024-07-12
H,13:01:44,17:01:54,Z37-4012,2024-07-12
H,21:30:54,23:46:10,Z37-4012,2024-07-12
M,05:09:14,11:23:41,Z37-4025,2024-07-13
H,11:52:20,15:44:01,Z37-4025,2024-07-13
M,08:48:29,13:09:41,Z37-4012,2024-07-13
M,15:56:25,20:06:28,Z37-4025,2024-07-13
H,17:43:50,21:13:53,Z37-4012,2024-07-13
M,05:29:44,08:26:40,Z37-4012,2024-07-13
M,13:19:42,17:37:43,Z37-4012,2024-07-13
H,21:20:36,1900-01-01 00:01:17,Z37-4012,2024-07-13
M,05:03:06,07:10:44,Z37-4025,2024-07-14
M,17:39:28,17:40:32,Z37-4012,2024-07-14
M,17:40:45,17:41:40,Z37-4012,2024-07-14
M,07:00:22,09:31:41,Z37-4012,2024-07-14
M,16:32:24,20:40:20,Z37-4025,2024-07-14
M,12:23:06,16:31:00,Z37-4025,2024-07-14
M,07:30:04,09:38:10,Z37-4025,2024-07-14
?,17:55:26,20:19:04,Z37-4012,2024-07-14
M,09:57:59,13:35:39,Z37-4012,2024-07-14
M,13:39:01,13:52:16,Z37-4012,2024-07-14
M,13:52:25,13:55:12,Z37-4012,2024-07-14
M,13:57:11,17:12:06,Z37-4012,2024-07-14
H,07:17:59,10:26:27,Z37-4012,2024-07-15
H,18:12:09,21:44:46,Z37-4025,2024-07-15
M,13:35:53,17:25:12,Z37-4025,2024-07-15
H,05:12:05,10:50:42,Z37-4025,2024-07-15
M,18:11:44,20:44:19,Z37-4012,2024-07-15
M,04:02:31,06:43:09,Z37-4012,2024-07-15
M,04:57:54,05:05:27,Z37-4025,2024-07-15
M,14:26:56,18:05:49,Z37-4012,2024-07-15
H,03:46:59,09:56:30,Z37-4012,2024-07-16
M,14:05:05,17:26:03,Z37-4025,2024-07-16
H,03:26:08,05:39:45,Z37-4025,2024-07-16
H,06:32:49,10:05:24,Z37-4025,2024-07-16
H,10:33:10,14:06:23,Z37-4012,2024-07-16
M,18:27:49,21:18:20,Z37-4025,2024-07-16
M,18:22:28,18:23:50,Z37-4025,2024-07-16
M,18:24:02,18:24:24,Z37-4025,2024-07-16
M,18:25:49,18:26:01,Z37-4025,2024-07-16
H,18:31:35,21:37:14,Z37-4012,2024-07-16
H,14:19:12,18:31:27,Z37-4012,2024-07-16
M,07:14:14,10:44:44,Z37-4025,2024-07-17
M,15:27:48,17:11:47,Z37-4012,2024-07-17
