versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento,codigoComportamientoAnomalo
E.1.0.0,50124,PB,Z374020,No Disponible,No Disponible,2024-04-16 03:57:02.986,2024-04-16 03:57:03.256,T,4.592544,-74.181847,2,3,False,2,EV19,4
E.1.0.0,50129,PB,Z374020,No Disponible,No Disponible,2024-04-16 03:58:12.446,2024-04-16 03:58:12.666,T,4.592544,-74.181847,2,3,False,2,EV19,3
E.1.0.0,50131,PB,Z374020,No Disponible,No Disponible,2024-04-16 03:58:22.136,2024-04-16 03:58:22.246,T,4.592544,-74.181847,2,3,False,2,EV19,4
E.1.0.0,50138,PB,Z374020,A617,No Disponible,2024-04-16 03:59:35.914,2024-04-16 03:59:36.364,T,4.592467,-74.181189,2,3,False,2,EV19,4
E.1.0.0,50146,PB,Z374020,A617,No Disponible,2024-04-16 04:01:02.734,2024-04-16 04:01:02.884,T,4.592406,-74.180222,2,3,False,2,EV19,4
E.1.0.0,50154,PB,Z374020,A617,No Disponible,2024-04-16 04:02:20.604,2024-04-16 04:02:20.644,T,4.594486,-74.178494,2,3,False,2,EV19,4
E.1.0.0,50160,PB,Z374020,A617,No Disponible,2024-04-16 04:03:48.054,2024-04-16 04:03:48.554,T,4.591919,-74.175358,2,3,False,2,EV19,4
E.1.0.0,50170,PB,Z374020,A617,No Disponible,2024-04-16 04:05:07.796,2024-04-16 04:05:08.026,T,4.591867,-74.172211,2,3,False,2,EV19,4
E.1.0.0,50176,PB,Z374020,A617,No Disponible,2024-04-16 04:06:09.576,2024-04-16 04:06:09.756,T,4.589644,-74.171367,2,3,False,2,EV19,4
E.1.0.0,50184,PB,Z374020,A617,No Disponible,2024-04-16 04:07:27.226,2024-04-16 04:07:27.296,T,4.589642,-74.167528,2,3,False,2,EV19,4
E.1.0.0,50192,PB,Z374020,A617,No Disponible,2024-04-16 04:09:02.356,2024-04-16 04:09:02.436,T,4.588322,-74.167283,2,3,False,2,EV19,4
E.1.0.0,50198,PB,Z374020,A617,No Disponible,2024-04-16 04:10:38.280,2024-04-16 04:10:38.420,T,4.588325,-74.163339,2,3,False,2,EV19,4
E.1.0.0,50215,PB,Z374020,A617,No Disponible,2024-04-16 04:13:46.020,2024-04-16 04:13:46.110,T,4.588008,-74.158589,2,3,False,2,EV19,4
E.1.0.0,50223,PB,Z374020,A617,No Disponible,2024-04-16 04:15:24.023,2024-04-16 04:15:24.053,T,4.587458,-74.157003,2,3,False,2,EV19,4
E.1.0.0,50233,PB,Z374020,A617,No Disponible,2024-04-16 04:17:51.993,2024-04-16 04:17:53.004,T,4.588392,-74.150458,2,3,False,2,EV19,4
E.1.0.0,50239,PB,Z374020,A617,No Disponible,2024-04-16 04:18:54.447,2024-04-16 04:18:54.623,T,4.588386,-74.148894,2,3,False,2,EV19,4
E.1.0.0,50248,PB,Z374020,A617,No Disponible,2024-04-16 04:20:10.606,2024-04-16 04:20:10.886,T,4.589792,-74.145672,2,3,False,2,EV19,4
