versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento,peso,temperaturaCabina,estimacionOcupacionSuben,estimacionOcupacionBajan,estimacionOcupacionAbordo
E.1.0.0,70990,PB,Z374020,EM,No Disponible,2024-04-19 00:20:44.096,2024-04-19 00:20:44.306,T,4.593133,-74.181975,2,3,False,2,EV1,-1,20.0,-1,-1,-1
E.1.0.0,71744,PB,Z374020,A617,No Disponible,2024-04-19 04:07:21.776,2024-04-19 04:07:21.786,T,4.593006,-74.182150,2,3,False,2,EV1,-1,22.0,-1,-1,-1
E.1.0.0,71836,PB,Z374020,A617,No Disponible,2024-04-19 04:26:18.246,2024-04-19 04:26:18.406,T,4.592417,-74.180178,2,3,False,2,EV1,-1,22.0,1,0,1
E.1.0.0,71846,PB,Z374020,A617,No Disponible,2024-04-19 04:27:51.036,2024-04-19 04:27:51.106,T,4.594444,-74.178503,2,3,False,2,EV1,-1,22.0,1,0,2
E.1.0.0,71871,PB,Z374020,A617,No Disponible,2024-04-19 04:32:26.306,2024-04-19 04:32:26.446,T,4.589653,-74.171400,2,3,False,2,EV1,-1,23.0,1,0,3
E.1.0.0,71904,PB,Z374020,A617,No Disponible,2024-04-19 04:38:59.716,2024-04-19 04:38:59.736,T,4.589353,-74.161808,2,3,False,2,EV1,-1,25.0,2,0,5
E.1.0.0,71933,PB,Z374020,A617,No Disponible,2024-04-19 04:44:51.316,2024-04-19 04:44:51.566,T,4.587869,-74.157078,2,3,False,2,EV1,-1,25.0,1,0,6
E.1.0.0,71948,PB,Z374020,A617,No Disponible,2024-04-19 04:47:18.376,2024-04-19 04:47:18.826,T,4.589642,-74.152303,2,3,False,2,EV1,-1,25.0,1,0,7
E.1.0.0,71962,PB,Z374020,A617,No Disponible,2024-04-19 04:49:23.170,2024-04-19 04:49:24.231,T,4.588519,-74.148594,2,3,False,2,EV1,-1,25.0,1,0,8
E.1.0.0,71969,PB,Z374020,A617,No Disponible,2024-04-19 04:50:24.630,2024-04-19 04:50:25.430,T,4.589786,-74.145683,2,3,False,2,EV1,-1,25.0,0,1,7
E.1.0.0,71994,PB,Z374020,A617,No Disponible,2024-04-19 04:55:06.926,2024-04-19 04:55:06.966,T,4.591217,-74.141867,2,3,False,2,EV1,-1,26.0,3,0,10
E.1.0.0,72012,PB,Z374020,A617,No Disponible,2024-04-19 04:58:44.116,2024-04-19 04:58:45.316,T,4.593536,-74.135556,2,3,False,2,EV1,-1,26.0,0,1,9
E.1.0.0,72025,PB,Z374020,A617,No Disponible,2024-04-19 05:00:44.235,2024-04-19 05:00:44.426,T,4.592744,-74.128639,2,3,False,2,EV1,-1,26.0,0,2,7
E.1.0.0,72035,PB,Z374020,A617,No Disponible,2024-04-19 05:02:04.696,2024-04-19 05:02:04.926,T,4.589861,-74.124550,2,3,False,2,EV1,-1,26.0,0,1,6
E.1.0.0,72056,PB,Z374020,A617,No Disponible,2024-04-19 05:06:27.436,2024-04-19 05:06:27.666,T,4.588372,-74.108422,2,3,False,2,EV1,-1,24.0,1,0,7
E.1.0.0,72064,PB,Z374020,A617,No Disponible,2024-04-19 05:07:35.136,2024-04-19 05:07:35.366,T,4.585000,-74.105744,2,3,False,2,EV1,-1,24.0,0,1,6
E.1.0.0,72107,PB,Z374020,A617,No Disponible,2024-04-19 05:16:39.726,2024-04-19 05:16:40.546,T,4.582275,-74.090294,2,3,False,2,EV1,-1,23.0,1,0,7
E.1.0.0,72127,PB,Z374020,A617,No Disponible,2024-04-19 05:20:31.576,2024-04-19 05:20:31.956,T,4.589067,-74.084922,2,3,False,2,EV1,-1,23.0,1,0,8
E.1.0.0,72165,PB,Z374020,A617,No Disponible,2024-04-19 05:27:43.016,2024-04-19 05:27:43.566,T,4.592489,-74.076186,2,3,False,2,EV1,-1,23.0,0,2,6
E.1.0.0,72177,PB,Z374020,A617,No Disponible,2024-04-19 05:29:40.636,2024-04-19 05:29:40.876,T,4.591875,-74.071542,2,3,False,2,EV1,-1,22.0,2,0,8
E.1.0.0,72188,PB,Z374020,A617,No Disponible,2024-04-19 05:31:23.396,2024-04-19 05:31:23.666,T,4.596033,-74.067878,2,3,False,2,EV1,-1,22.0,0,1,7
E.1.0.0,72200,PB,Z374020,A617,No Disponible,2024-04-19 05:33:20.666,2024-04-19 05:33:20.746,T,4.601272,-74.061119,2,3,False,2,EV1,-1,22.0,0,0,7
E.1.0.0,72208,PB,Z374020,A617,No Disponible,2024-04-19 05:34:33.156,2024-04-19 05:34:33.326,T,4.602975,-74.061578,2,3,False,2,EV1,-1,22.0,0,1,6
E.1.0.0,72220,PB,Z374020,A617,No Disponible,2024-04-19 05:36:25.276,2024-04-19 05:36:25.806,T,4.604856,-74.065878,2,3,False,2,EV1,-1,22.0,0,2,4
E.1.0.0,72243,PB,Z374020,A617,No Disponible,2024-04-19 05:40:43.216,2024-04-19 05:40:43.476,T,4.604708,-74.070767,2,3,False,2,EV1,-1,22.0,0,1,3
E.1.0.0,72263,PB,Z374020,H617,No Disponible,2024-04-19 05:44:35.306,2024-04-19 05:44:35.446,T,4.606281,-74.073242,2,3,False,2,EV1,-1,22.0,2,0,5
E.1.0.0,72285,PB,Z374020,H617,No Disponible,2024-04-19 05:48:51.426,2024-04-19 05:48:51.476,T,4.603633,-74.066925,2,3,False,2,EV1,-1,22.0,0,1,4
E.1.0.0,72293,PB,Z374020,H617,No Disponible,2024-04-19 05:49:57.496,2024-04-19 05:49:57.806,T,4.603222,-74.064544,2,3,False,2,EV1,-1,22.0,0,1,3
E.1.0.0,72320,PB,Z374020,H617,No Disponible,2024-04-19 05:55:30.096,2024-04-19 05:55:30.976,T,4.592453,-74.070142,2,3,False,2,EV1,-1,21.0,5,0,8
E.1.0.0,72339,PB,Z374020,H617,No Disponible,2024-04-19 05:58:57.106,2024-04-19 05:58:57.176,T,4.592436,-74.075058,2,3,False,2,EV1,-1,21.0,5,0,13
E.1.0.0,72361,PB,Z374020,H617,No Disponible,2024-04-19 06:02:51.106,2024-04-19 06:02:51.366,T,4.590261,-74.078056,2,3,False,2,EV1,-1,22.0,1,0,14
E.1.0.0,72372,PB,Z374020,H617,No Disponible,2024-04-19 06:04:29.666,2024-04-19 06:04:29.686,T,4.591339,-74.080233,2,3,False,2,EV1,-1,22.0,5,0,19
E.1.0.0,72389,PB,Z374020,H617,No Disponible,2024-04-19 06:07:23.466,2024-04-19 06:07:23.546,T,4.591450,-74.083658,2,3,False,2,EV1,-1,22.0,1,0,20
E.1.0.0,72397,PB,Z374020,H617,No Disponible,2024-04-19 06:08:28.226,2024-04-19 06:08:28.766,T,4.589025,-74.085211,2,3,False,2,EV1,-1,22.0,2,2,20
E.1.0.0,72409,PB,Z374020,H617,No Disponible,2024-04-19 06:10:33.126,2024-04-19 06:10:33.386,T,4.585342,-74.087639,2,3,False,2,EV1,-1,22.0,4,2,22
E.1.0.0,72420,PB,Z374020,H617,No Disponible,2024-04-19 06:12:07.456,2024-04-19 06:12:07.626,T,4.583261,-74.091803,2,3,False,2,EV1,-1,22.0,1,0,23
E.1.0.0,72425,PB,Z374020,H617,No Disponible,2024-04-19 06:12:52.496,2024-04-19 06:12:52.616,T,4.584622,-74.093378,2,3,False,2,EV1,-1,22.0,0,2,21
E.1.0.0,72432,PB,Z374020,H617,No Disponible,2024-04-19 06:13:28.726,2024-04-19 06:13:29.066,T,4.585425,-74.094225,2,3,False,2,EV1,-1,22.0,0,5,16
E.1.0.0,72446,PB,Z374020,H617,No Disponible,2024-04-19 06:15:51.126,2024-04-19 06:15:51.516,T,4.587069,-74.096675,2,3,False,2,EV1,-1,22.0,2,0,18
E.1.0.0,72465,PB,Z374020,H617,No Disponible,2024-04-19 06:19:27.126,2024-04-19 06:19:27.496,T,4.585328,-74.101856,2,3,False,2,EV1,-1,22.0,0,1,17
E.1.0.0,72478,PB,Z374020,H617,No Disponible,2024-04-19 06:21:09.911,2024-04-19 06:21:10.021,T,4.583675,-74.103647,2,3,False,2,EV1,-1,22.0,1,2,16
E.1.0.0,72491,PB,Z374020,H617,No Disponible,2024-04-19 06:23:39.151,2024-04-19 06:23:39.312,T,4.583983,-74.104725,2,3,False,2,EV1,-1,22.0,6,1,21
E.1.0.0,72504,PB,Z374020,H617,No Disponible,2024-04-19 06:25:22.605,2024-04-19 06:25:23.115,T,4.587258,-74.107308,2,3,False,2,EV1,-1,22.0,0,2,19
E.1.0.0,72521,PB,Z374020,H617,No Disponible,2024-04-19 06:28:18.035,2024-04-19 06:28:18.185,T,4.588853,-74.111592,2,3,False,2,EV1,-1,22.0,5,2,22
E.1.0.0,72531,PB,Z374020,H617,No Disponible,2024-04-19 06:29:43.206,2024-04-19 06:29:43.406,T,4.588636,-74.117125,2,3,False,2,EV1,-1,22.0,1,1,22
E.1.0.0,72539,PB,Z374020,H617,No Disponible,2024-04-19 06:30:51.546,2024-04-19 06:30:52.016,T,4.589328,-74.120161,2,3,False,2,EV1,-1,22.0,1,0,23
E.1.0.0,72550,PB,Z374020,H617,No Disponible,2024-04-19 06:32:24.306,2024-04-19 06:32:24.636,T,4.590228,-74.124775,2,3,False,2,EV1,-1,22.0,1,0,24
E.1.0.0,72557,PB,Z374020,H617,No Disponible,2024-04-19 06:33:04.076,2024-04-19 06:33:04.256,T,4.591575,-74.126575,2,3,False,2,EV1,-1,22.0,0,1,23
E.1.0.0,72571,PB,Z374020,H617,No Disponible,2024-04-19 06:35:22.616,2024-04-19 06:35:22.696,T,4.593772,-74.130497,2,3,False,2,EV1,-1,22.0,0,3,20
E.1.0.0,72579,PB,Z374020,H617,No Disponible,2024-04-19 06:36:25.796,2024-04-19 06:36:26.016,T,4.594544,-74.134892,2,3,False,2,EV1,-1,22.0,0,6,14
E.1.0.0,72616,PB,Z374020,H617,No Disponible,2024-04-19 06:43:55.566,2024-04-19 06:43:55.796,T,4.591742,-74.138489,2,3,False,2,EV1,-1,22.0,0,1,13
E.1.0.0,72636,PB,Z374020,H617,No Disponible,2024-04-19 06:47:09.016,2024-04-19 06:47:09.446,T,4.590536,-74.143194,2,3,False,2,EV1,-1,22.0,1,2,12
E.1.0.0,72641,PB,Z374020,H617,No Disponible,2024-04-19 06:47:45.756,2024-04-19 06:47:45.776,T,4.590850,-74.144683,2,3,False,2,EV1,-1,22.0,1,0,13
E.1.0.0,72649,PB,Z374020,H617,No Disponible,2024-04-19 06:48:58.516,2024-04-19 06:48:58.696,T,4.590275,-74.145500,2,3,False,2,EV1,-1,22.0,7,0,20
E.1.0.0,72659,PB,Z374020,H617,No Disponible,2024-04-19 06:50:12.796,2024-04-19 06:50:13.336,T,4.589133,-74.147136,2,3,False,2,EV1,-1,22.0,1,3,18
E.1.0.0,72679,PB,Z374020,H617,No Disponible,2024-04-19 06:53:52.886,2024-04-19 06:53:53.396,T,4.589197,-74.152967,2,3,False,2,EV1,-1,22.0,0,5,13
E.1.0.0,72685,PB,Z374020,H617,No Disponible,2024-04-19 06:54:36.249,2024-04-19 06:54:36.396,T,4.588367,-74.154153,2,3,False,2,EV1,-1,22.0,0,1,12
